"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Hanwha Life Esports",12,8,4,33.1,185,113,1.64,0.75,0.46,"4.4%",65.2,20.5,-38,"75%","42%","50%",3.4,"26%","75%","61%",,"58%","60%","50.4%","52.6%",3.73,1.76,1.86
"Liiv SANDBOX",4,1,3,32.3,28,67,0.42,0.73,-0.87,"-8.6%",42.9,-17.9,-62,"25%","75%","50%",5.3,"71%","25%","41%",,"50%","50%","49.3%","46.1%",3.24,1.42,1.65
"Nongshim RedForce",3,0,3,32.5,17,58,0.29,0.77,-1.75,"-12.1%",24,-24,-1570,"0%","0%","33%",4.3,"50%","33%","27%",,"0%","0%","49.2%","43.7%",3.38,1.45,1.75
"T1",5,3,2,34.1,68,60,1.13,0.75,0.59,"3.5%",,,1082,"40%","80%","60%",5.8,"90%","20%","46%",,"60%","60%","50.0%","50.5%",3.67,1.7,1.79
