"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DWG KIA",7,6,1,33.4,138,87,1.59,0.96,0.91,"4.1%",53.1,32.6,213,"71%","29%","43%",5,"21%","43%","53%",,"86%","69%","49.4%","50.7%",3.82,1.57,1.64
"Gen.G",4,1,3,40,43,62,0.69,0.66,-0.18,"4.1%",67,-42,880,"75%","100%","50%",5.8,"50%","75%","33%","0%","75%","56%","49.8%","45.3%",4.13,1.76,2.04
"Kwangdong Freecs",4,1,3,31.7,50,67,0.75,0.92,-0.61,"-6.4%",39.5,-14.5,-777,"50%","25%","50%",3,"50%","50%","44%",,"50%","43%","50.1%","45.9%",3.49,1.52,1.34
"Liiv SANDBOX",3,0,3,37.4,25,53,0.47,0.7,-2.01,"-9.5%",11.6,-11.6,-3361,"0%","33%","0%",1.3,"17%","33%","47%",,"67%","33%","50.6%","45.5%",3.43,1.52,2.03
"Nongshim RedForce",7,3,4,32.5,105,117,0.9,0.98,-0.55,"-0.0%",42.7,0.2,-659,"29%","57%","29%",3.6,"50%","57%","48%",,"43%","46%","50.2%","51.4%",3.43,1.36,1.68
"T1",11,7,4,36.8,164,139,1.18,0.75,0.6,"0.8%",60.8,2.8,1163,"55%","55%","82%",5.8,"77%","45%","58%","100%","18%","45%","50.1%","53.1%",3.86,1.73,1.81
