"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Viego","Jungle",7,"35.0%","15.0%","50.0%","43%","71%",33,19,18,2.7,"61.4%","22.9%","57%",216,427,6.4,5.3,"14.5%",263,"13.7%","19.5%",0.4,0.4
"Viktor","Middle",2,"10.0%","5.0%","15.0%","0%","100%",2,6,7,1.5,"81.8%","21.4%","0%",148,196,4,9.3,"27.8%",449,"30.4%","26.5%",0.52,0.3
"Volibear","Jungle",6,"30.0%","10.0%","40.0%","33%","50%",16,18,34,2.8,"62.5%","19.4%","33%",-169,-139,-3.3,4.7,"11.5%",214,"13.2%","15.8%",0.43,0.44
"Xayah","ADC",14,"70.0%","15.0%","85.0%","43%","29%",40,31,55,3.1,"59.4%","15.0%","21%",-271,-159,-0.8,9.6,"34.2%",585,"30.3%","27.0%",0.51,0.31
"Xin Zhao","Jungle",4,"20.0%","10.0%","30.0%","25%","75%",9,11,13,2,"56.4%","18.3%","25%",-501,-472,-9,4.7,"12.5%",178,"9.8%","16.4%",0.47,0.4
"Yuumi","Support",4,"20.0%","10.0%","30.0%","50%","75%",1,6,31,5.3,"84.2%","10.7%","25%",-211,113,-9.3,0.5,"1.5%",310,"18.6%","9.5%",1.54,0.26
"Zeri","ADC",1,"5.0%","95.0%","100.0%","100%","0%",5,0,8,13,"72.2%","0.0%","0%",234,138,8,10.7,"35.4%",529,"29.9%","29.5%",0.4,0.5
"Ziggs","ADC",4,"20.0%","0.0%","20.0%","50%","100%",20,8,16,4.5,"65.5%","15.4%","0%",91,201,-4,9.2,"31.9%",661,"34.0%","25.2%",0.44,0.11
"Zilean","-",0,"0%","5.0%","5.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zoe","Middle",1,"5.0%","0.0%","5.0%","0%","100%",6,4,9,3.8,"93.8%","22.2%","0%",501,604,3,7.7,"29.2%",590,"35.3%","27.8%",0.4,0.25
