"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DRX",5,2,3,36.7,54,76,0.71,0.71,-0.11,"-1.3%",37,3,-897,"40%","60%","80%",4.2,"90%","60%","46%",,"40%","50%","49.8%","57.7%",3.69,1.56,1.97
"DWG KIA",8,5,3,34.7,119,91,1.31,0.75,0.85,"6.1%",54.1,8.4,890,"50%","63%","100%",6.1,"75%","50%","50%","100%","75%","75%","49.0%","53.2%",3.47,1.64,1.78
"Fredit BRION",3,0,3,33.1,20,64,0.31,0.85,-2.19,"-17.7%",35.1,-35.1,-1500,"100%","33%","0%",4,"33%","67%","40%",,"0%","0%","50.0%","40.9%",3.72,1.72,1.58
"Gen.G",9,4,5,34.4,114,123,0.93,0.77,-1.08,"-4.2%",43.4,1.1,-1582,"22%","33%","0%",3.3,"17%","67%","59%","0%","33%","46%","50.6%","47.0%",3.8,1.4,1.84
"Kwangdong Freecs",8,3,5,32.8,94,106,0.89,0.76,-0.97,"-6.9%",42.9,-5.4,-1173,"50%","25%","13%",3,"6%","38%","49%",,"25%","38%","49.9%","40.6%",3.77,1.68,1.78
"T1",7,6,1,30,120,62,1.94,0.87,2.82,"14.8%",77.6,8.1,3641,"71%","86%","100%",7.9,"93%","29%","47%",,"71%","63%","50.5%","59.3%",3.85,1.54,1.63
