"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lulu","Support",11,"5.2%","3.8%","8.9%","55%","91%",6,18,85,5.1,"81.3%","15.8%","9%",-1,41,-2.4,0.6,"1.8%",121,"7.3%","9.0%",1.65,0.34
"Lux","Support",16,"7.5%","1.4%","8.9%","56%","75%",13,41,129,3.5,"72.4%","22.9%","19%",209,-138,-4.9,0.8,"3.1%",289,"14.1%","9.7%",1.55,0.33
"Malphite","Top",3,"1.4%","0.9%","2.3%","67%","100%",2,11,21,2.1,"52.3%","32.4%","0%",-224,222,-5,6.1,"16.2%",392,"17.5%","16.7%",0.43,0.21
"Malzahar","Middle",1,"0.5%","0.0%","0.5%","100%","100%",2,2,8,5,"71.4%","28.6%","100%",-545,-211,-8,8,"23.4%",283,"17.5%","21.1%",0.58,0.43
"Morgana","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,4,19,4.8,"86.4%","16.0%","0%",324,398,-8,0.6,"2.6%",393,"13.2%","11.6%",1.69,0.15
"Nami","Support",1,"0.5%","0.0%","0.5%","0%","100%",1,1,6,7,"63.6%","6.3%","0%",-255,-114,-14,0.5,"1.9%",119,"7.4%","7.9%",2.28,0.37
"Nautilus","Support",77,"36.2%","18.3%","54.5%","53%","34%",55,264,547,2.3,"63.1%","28.8%","32%",-47,1,1.8,1.1,"2.4%",120,"6.7%","8.7%",1.72,0.34
"Nidalee","Jungle",7,"3.3%","0.5%","3.8%","29%","86%",25,11,30,5,"68.8%","13.4%","29%",432,521,10.7,7.4,"17.1%",449,"23.7%","19.8%",0.84,0.58
"Nocturne","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",1,1,8,9,"75.0%","16.7%","0%",537,739,10,5.6,"13.5%",302,"19.2%","15.5%",0.83,0.26
"Olaf","Jungle",4,"1.9%","0.9%","2.8%","50%","100%",11,7,9,2.9,"62.5%","14.6%","25%",63,-55,6.3,5.2,"10.8%",275,"16.8%","16.5%",0.38,0.47
"Orianna","Middle",19,"8.9%","4.7%","13.6%","42%","74%",31,43,106,3.2,"71.0%","17.6%","26%",-45,-1,2.1,8.9,"25.4%",384,"21.5%","22.7%",0.47,0.32
"Ornn","Top",3,"1.4%","0.0%","1.4%","33%","100%",6,13,23,2.2,"72.5%","25.5%","33%",-30,288,-7.3,6.4,"19.5%",347,"20.7%","19.5%",0.42,0.17
"Poppy","Jungle",26,"12.2%","16.9%","29.1%","58%","69%",32,59,162,3.3,"57.9%","19.0%","42%",-71,-91,0.2,5.6,"13.6%",177,"9.2%","15.2%",0.44,0.47
"Rakan","Support",29,"13.6%","15.5%","29.1%","66%","76%",21,59,261,4.8,"77.7%","21.1%","48%",82,-44,0.8,1.3,"3.0%",118,"6.7%","9.3%",2.02,0.57
"Rek'Sai","Jungle",8,"3.8%","1.4%","5.2%","38%","100%",28,26,42,2.7,"52.6%","24.3%","63%",25,33,-0.8,5.7,"15.3%",291,"13.9%","18.1%",0.35,0.43
"Rell","Support",5,"2.3%","0.0%","2.3%","40%","40%",1,19,31,1.7,"62.7%","29.7%","20%",19,80,2,1.2,"2.5%",90,"5.7%","7.6%",1.72,0.4
"Renata Glasc","Support",17,"8.0%","2.3%","10.3%","53%","53%",14,41,136,3.7,"78.1%","22.0%","35%",109,-25,-0.5,1.1,"2.7%",155,"8.3%","9.6%",1.8,0.44
"Renekton","Middle",2,"0.9%","39.9%","50.7%","0%","0%",7,4,3,2.5,"45.5%","15.4%","0%",-282,-357,-10.5,8.6,"25.6%",248,"20.5%","25.1%",0.46,0.28
"Renekton","Top",21,"9.9%","39.9%","50.7%","43%","25%",32,53,73,2,"48.2%","22.3%","24%",286,162,6.6,8.7,"26.4%",337,"18.7%","23.0%",0.37,0.27
"Rumble","Top",1,"0.5%","0.0%","0.5%","100%","100%",4,2,9,6.5,"44.8%","22.2%","0%",604,992,14,8,"24.0%",716,"24.3%","21.8%",0.5,0.12
"Ryze","Middle",53,"24.9%","41.3%","67.1%","49%","32%",117,92,297,4.5,"69.0%","15.2%","19%",20,37,5.1,9.5,"27.4%",370,"21.3%","24.3%",0.42,0.3
